prompt,data_type,head,label,avg_entropy,std_entropy,max_entropy,min_entropy
ask_me_now,pitch,0,chick,1.278026624884717,0.017058364470780008,1.293383977502864,1.205254385745101
ask_me_now,pitch,1,chick,1.184547732590176,0.03284078705485604,1.2596359895436218,1.1154486927130194
ask_me_now,pitch,2,chick,1.2936611542311585,0.0018057434321723917,1.2954230749584323,1.2864985875112311
ask_me_now,pitch,3,chick,1.105699574061455,0.02543432263289454,1.157637235481184,1.0379777146422187
ask_me_now,pitch,4,chick,1.1440088298121194,0.08967291085281402,1.2931715043822964,0.9908806416704696
ask_me_now,pitch,5,chick,1.1970229086114645,0.05235369111863633,1.2947446796187558,1.0950189429622799
ask_me_now,pitch,6,chick,1.1470798765403238,0.06868677356322292,1.2620597232844972,0.983401417295422
ask_me_now,pitch,7,chick,1.2706351836396903,0.010239247915664964,1.2919848626473314,1.247800333341674
ask_me_now,pitch,8,chick,1.2402894372169435,0.024847307580517043,1.2831176646179674,1.1861147895165913
ask_me_now,pitch,9,chick,1.0703881336238192,0.05069972285290079,1.2193430579678892,1.0033877464795016
ask_me_now,pitch,10,chick,1.2851022083893322,0.0072501366233621274,1.2933997902550598,1.2538083322416915
ask_me_now,pitch,11,chick,1.246960467409767,0.011753447023929612,1.2742813404262123,1.222842809355322
ask_me_now,pitch,12,chick,1.2928664802783096,0.002325960859085757,1.2955367437831717,1.2865033036603706
ask_me_now,pitch,13,chick,1.1907156768434675,0.0506944334640106,1.2912382488220602,1.014304062844115
ask_me_now,pitch,14,chick,1.209023891413125,0.037484476727391976,1.2737993797147484,1.091443798254813
ask_me_now,pitch,15,chick,1.199744956063235,0.05894740329358017,1.2758428221271365,0.9974786150175722
ask_me_now,dur,0,chick,1.2788010953277313,0.01311737068579808,1.2884778741501903,1.2170425545325974
ask_me_now,dur,1,chick,1.288537451647026,0.006849829629481445,1.2948587322232812,1.2609552519558893
ask_me_now,dur,2,chick,1.2939097951288414,0.001993342640696409,1.2954096035135518,1.2829187192522236
ask_me_now,dur,3,chick,1.12563224283504,0.031152058210554664,1.2103835345630205,1.0679017274899807
ask_me_now,dur,4,chick,1.219038723615159,0.06700383608843441,1.2932032272030183,0.991226927998799
ask_me_now,dur,5,chick,1.2840501829567827,0.006774696131513296,1.2924192904747986,1.2649824206095137
ask_me_now,dur,6,chick,1.2115097728341386,0.04453367391287283,1.2728667628852202,1.0759711448135778
ask_me_now,dur,7,chick,1.2550676856795755,0.015118884233446945,1.283823853766456,1.214662223506057
ask_me_now,dur,8,chick,1.2252189092350037,0.023709531902430116,1.283004308952224,1.1502700381763775
ask_me_now,dur,9,chick,1.0763430461947088,0.044448412260674516,1.1938915151109348,0.9652871233987974
ask_me_now,dur,10,chick,1.2847544176745334,0.011353445171481043,1.294903396999944,1.2451344795731207
ask_me_now,dur,11,chick,1.205271826213912,0.016260782690003615,1.2372249265558026,1.1638462732293768
ask_me_now,dur,12,chick,1.2874218090295717,0.004667451069173886,1.2951222938179028,1.2700718472642596
ask_me_now,dur,13,chick,1.2753162390605441,0.017229232880920237,1.2925599878279423,1.2039045873893661
